Data,Trocas_Oleo,Manutencao_Motor
2025-05-03,25.0,5.0
2025-05-04,53.0,18.0
2025-05-05,31.0,13.0
2025-05-06,30.0,8.0
2025-05-07,39.0,17.0
2025-05-08,22.0,9.0
2025-05-09,29.0,13.0
2025-05-10,28.0,14.0
2025-05-11,16.0,4.0
2025-05-12,35.0,14.0
2025-06-01,22.0,12.0
2025-06-02,26.0,11.0
2025-06-03,27.0,15.0
2025-06-04,47.0,17.0
2025-06-05,36.0,15.0
2025-06-06,41.0,17.0
2025-06-07,42.0,18.0
2025-06-08,27.0,10.0
2025-06-09,40.0,13.0
2025-06-10,16.0,5.0
2025-06-11,18.0,4.0
2025-06-12,41.0,15.0
2025-07-01,25.0,9.0
2025-07-02,42.0,16.0
2025-07-03,39.0,12.0
2025-07-04,30.0,12.0
2025-07-05,31.0,13.0
2025-07-06,45.0,20.0
2025-07-07,24.0,8.0
2025-07-08,20.0,5.0
2025-07-09,33.0,8.0
2025-07-10,16.0,5.0
2025-07-11,32.0,15.0
2025-07-12,36.0,17.0
2025-08-01,24.0,11.0
2025-08-02,40.0,17.0
2025-08-03,45.0,14.0
2025-08-04,33.0,10.0
2025-08-05,28.0,10.0
2025-08-06,41.0,13.0
2025-08-07,25.0,7.0
2025-08-08,35.0,11.0
2025-08-09,17.0,8.0
2025-08-10,9.0,5.0
2025-08-11,40.0,15.0
2025-08-12,30.0,12.0
2025-09-01,28.0,9.0
2025-09-02,44.0,19.0
2025-09-03,48.0,21.0
2025-09-04,32.0,13.0
2025-09-05,51.0,20.0
2025-09-06,22.0,12.0
2025-09-07,22.0,5.0
2025-09-08,33.0,12.0
2025-09-09,19.0,4.0
2025-09-10,17.0,5.0
2025-09-11,38.0,14.0
2025-09-12,19.0,9.0
2025-10-01,34.0,14.0
2025-10-02,24.0,7.0
2025-10-03,35.0,18.0
2025-10-04,31.0,12.0
2025-10-05,48.0,19.0
2025-10-06,23.0,10.0
2025-10-07,22.0,9.0
2025-10-08,32.0,11.0
2025-10-09,19.0,7.0
2025-10-10,32.0,16.0
2025-10-11,24.0,12.0
2025-10-12,30.0,13.0
2025-11-01,39.0,13.0
2025-11-02,27.0,11.0
2025-11-03,31.0,15.0
2025-11-04,49.0,20.0
2025-11-05,43.0,16.0
2025-11-06,28.0,9.0
2025-11-07,37.0,12.0
2025-11-08,22.0,8.0
2025-11-09,18.0,4.0
2025-11-10,35.0,15.0
2025-11-11,23.0,10.0
2025-11-12,26.0,12.0
2025-12-01,37.0,13.0
2025-12-02,28.0,12.0
2025-12-03,36.0,15.0
2025-12-04,49.0,20.0
2025-12-05,30.0,13.0
2025-12-06,28.0,11.0
2025-12-07,39.0,11.0
2025-12-08,17.0,6.0
2025-12-09,30.0,8.0
2025-12-10,38.0,14.0
2025-12-11,17.0,7.0
2025-12-12,40.0,16.0
